"Provincias	Condición jurídica	Periodo	Total"
"02 Albacete	Sociedades comanditarias	2009	0"
"02 Albacete	Sociedades comanditarias	2008	0"
"02 Albacete	Sociedades comanditarias	2007	0"
"02 Albacete	Sociedades comanditarias	2006	0"
"02 Albacete	Sociedades comanditarias	2005	0"
"02 Albacete	Sociedades comanditarias	2004	0"
"02 Albacete	Sociedades comanditarias	2003	0"
"02 Albacete	Sociedades comanditarias	2002	0"
"02 Albacete	Sociedades comanditarias	2001	0"
"02 Albacete	Sociedades comanditarias	2000	0"
"02 Albacete	Sociedades comanditarias	1999	0"
"02 Albacete	Comunidades de bienes	2024	1.436"
"02 Albacete	Comunidades de bienes	2023	1.421"
"02 Albacete	Comunidades de bienes	2022	1.494"
"02 Albacete	Comunidades de bienes	2021	1.491"
"02 Albacete	Comunidades de bienes	2020	1.491"
"02 Albacete	Comunidades de bienes	2019	1.489"
"02 Albacete	Comunidades de bienes	2018	1.495"
"02 Albacete	Comunidades de bienes	2017	1.540"
"02 Albacete	Comunidades de bienes	2016	1.553"
"02 Albacete	Comunidades de bienes	2015	1.565"
"02 Albacete	Comunidades de bienes	2014	1.487"
"02 Albacete	Comunidades de bienes	2013	1.428"
"02 Albacete	Comunidades de bienes	2012	1.438"
"02 Albacete	Comunidades de bienes	2011	1.456"
"02 Albacete	Comunidades de bienes	2010	1.480"
"02 Albacete	Comunidades de bienes	2009	1.457"
"02 Albacete	Comunidades de bienes	2008	1.454"
"02 Albacete	Comunidades de bienes	2007	1.393"
"02 Albacete	Comunidades de bienes	2006	1.342"
"02 Albacete	Comunidades de bienes	2005	1.302"
"02 Albacete	Comunidades de bienes	2004	1.193"
"02 Albacete	Comunidades de bienes	2003	1.121"
"02 Albacete	Comunidades de bienes	2002	1.127"
"02 Albacete	Comunidades de bienes	2001	1.127"
"02 Albacete	Comunidades de bienes	2000	1.156"
"02 Albacete	Comunidades de bienes	1999	1.177"
"02 Albacete	Sociedades cooperativas	2024	294"
"02 Albacete	Sociedades cooperativas	2023	284"
"02 Albacete	Sociedades cooperativas	2022	310"
"02 Albacete	Sociedades cooperativas	2021	313"
"02 Albacete	Sociedades cooperativas	2020	323"
"02 Albacete	Sociedades cooperativas	2019	316"
"02 Albacete	Sociedades cooperativas	2018	317"
"02 Albacete	Sociedades cooperativas	2017	316"
"02 Albacete	Sociedades cooperativas	2016	329"
"02 Albacete	Sociedades cooperativas	2015	353"
"02 Albacete	Sociedades cooperativas	2014	335"
"02 Albacete	Sociedades cooperativas	2013	324"
"02 Albacete	Sociedades cooperativas	2012	335"
"02 Albacete	Sociedades cooperativas	2011	340"
"02 Albacete	Sociedades cooperativas	2010	352"
"02 Albacete	Sociedades cooperativas	2009	354"
"02 Albacete	Sociedades cooperativas	2008	379"
"02 Albacete	Sociedades cooperativas	2007	382"
"02 Albacete	Sociedades cooperativas	2006	386"
"02 Albacete	Sociedades cooperativas	2005	382"
"02 Albacete	Sociedades cooperativas	2004	380"
